god		24702.410580964075
	the	1202.2852494930282
	to	667.0096313126737
	and	547.308514547608
	a	534.8136519707583
	of	507.70341115039633
	i	408.6631635686305
	that	366.11742811498357
	is	343.7550495934784
	it	331.85431418422064
	in	323.67654222043035
	you	315.8014506045739
	s	269.5503540789619
	for	190.65487321590894
	n't	187.5740095650157
	he	184.9863760689369
	be	166.9644277356164
	have	164.33858275632923
	on	162.69569123164268
	was	151.44405197155652
	with	148.2340313653825


crack		944.7056267198564
	the	55.33331744667707
	to	34.59568792763239
	a	19.569995949071387
	i	18.04518332686628
	is	15.540985714710684
	that	14.617044719674915
	it	14.609875053635664
	people	13.204644026559215
	of	13.158342643121914
	and	12.665916218939628
	s	12.23560827194371
	for	11.034756483074126
	he	10.645930622885437
	they	9.83401201130754
	n't	9.573792704966632
	in	9.087444737135316
	be	8.936229352456234
	we	8.29282707615735
	are	7.449095202941276
	do	7.448764697662181


bullshit		4344.393883386028
	the	185.31707175709616
	to	157.75158867845357
	i	103.27644791690827
	that	86.08616684487225
	you	69.33490039150614
	of	66.61628888141803
	and	61.94856587037543
	it	60.615763106564884
	a	58.46045756974392
	n't	57.01016057203094
	in	55.14475832526049
	is	51.397058839394276
	he	49.90574496111998
	s	40.606024307757416
	was	38.51527529693726
	for	38.37208336922153
	they	36.68034358984004
	this	35.30803044473994
	are	33.746871658235435
	be	33.52655212748693


scum		2706.547399190964
	the	135.4232524678793
	to	78.45590044738981
	of	58.52211177387264
	i	53.967858740731046
	and	47.325084313282574
	a	46.643833089384984
	that	45.33764056636667
	it	36.34098978894498
	is	32.29102418790342
	be	29.152203913236953
	in	27.521414680180786
	was	27.013715190034077
	he	26.28375584729491
	they	25.770449506507283
	n't	23.82828373929695
	have	21.94807889010496
	for	21.76607236008384
	you	21.396818481449635
	free	21.24592724628651
	s	20.06347451002754


damn		10742.69705882067
	the	481.0977671043805
	i	286.92155344704474
	to	272.4527094789045
	and	259.9855905113288
	a	234.3081097471943
	it	211.10204351038084
	of	210.65898781441933
	you	159.95486384913877
	that	156.9514154674765
	is	136.97283349255105
	in	134.8807176096871
	s	113.3575074193349
	was	107.61029990326033
	for	84.56144054910419
	not	82.37214330320805
	n't	72.38733048699885
	have	70.15602984289166
	he	69.09470143977842
	but	65.30483836888237
	with	63.0619170065574


ass		13192.347626455397
	the	588.7457116188758
	i	346.65681577449
	a	337.79801141514446
	to	305.5458869635261
	of	281.9589274620288
	and	261.02033643041574
	it	229.86430678855717
	that	216.8508159396162
	s	204.77225153282413
	you	202.19030128596725
	is	176.60645288708474
	in	150.69567318758425
	for	132.11498516743217
	was	105.76860108180816
	have	105.09246759017059
	not	96.14387172911918
	on	88.50682918145799
	n't	86.35999302704275
	do	86.2577439540339
	he	78.79460214293687


murder		4678.413594918487
	the	203.54139281106228
	in	154.5139367171637
	with	133.33104533075837
	was	100.35894681192283
	of	86.45737456800396
	a	84.58146814291194
	and	79.17623320062035
	to	78.67998533635983
	i	76.09415851844152
	is	46.729757529317844
	who	46.50149550682943
	that	44.123085136620205
	university	38.140714873077435
	it	36.9518285363567
	have	25.68808018474203
	for	25.369565422343662
	he	24.468543994902998
	s	24.23830815095857
	john	23.8224359217781
	state	23.75377224511422


rape		1528.2527366622844
	the	75.72922276636245
	i	40.006515131372595
	to	38.92693270788649
	of	30.984239808051257
	and	29.30565371599287
	a	29.174715627446233
	it	28.104523393773935
	that	25.394598055638156
	this	20.780863520130595
	was	20.595545914441374
	in	20.176680660492643
	is	18.039647096450167
	he	17.347125016633903
	on	14.793813752133062
	have	13.808981166000638
	they	13.310679109815009
	not	11.42136646642906
	n't	11.378166492397831
	his	11.372668685181733
	you	10.759426615219528


crap		11962.97559565665
	the	577.7937310536639
	to	317.2171403033731
	a	311.5593907422394
	of	271.1968191670377
	i	245.1546070002533
	and	244.12819389132142
	that	185.891076596506
	in	162.24874283276876
	it	146.67600929145738
	you	144.6084935580734
	is	143.58699687950747
	for	125.66842267550606
	be	99.33418026004276
	not	97.38486769710904
	s	94.67693306352908
	was	88.30269743317191
	as	86.91347817169904
	but	83.02515256860163
	he	82.39693392888255
	on	77.84705051864819


suck		5471.49993831566
	the	189.15629218384538
	a	146.57046643453444
	to	114.93797266625486
	i	113.1265810252858
	as	112.8424858471868
	and	98.80036036757761
	in	78.1378679143267
	it	74.74452784149162
	that	73.77826469199975
	of	69.23166082195799
	was	67.54842944426935
	he	60.71809837919268
	you	58.22248747194033
	is	51.82291789262058
	n't	50.52316518969748
	s	48.56104821558277
	they	45.80296017137772
	for	42.602390478731664
	be	42.203547068731325
	but	41.29130094595123


fucked		3909.21596850465
	the	151.10649626170897
	to	115.58134488097284
	i	82.41745772588015
	a	77.81511635595885
	and	75.57584622494221
	it	74.52357711438268
	is	64.62647923357862
	you	62.380016473884254
	that	58.49500992355425
	s	54.511450193200815
	are	50.178825619993276
	of	39.05560706918453
	we	38.580868274607546
	for	36.881079334392325
	n't	36.2903529312112
	in	36.21150958375141
	this	35.83410233488181
	obama	35.77571086040367
	do	33.73654653749713
	but	33.07173277053627


hell		27743.444899535658
	the	1274.3709478286976
	to	700.8002107410794
	a	613.170956584182
	and	556.3854810871283
	i	547.8492547019972
	of	480.8095359837176
	is	475.49652469267534
	it	428.8701793260715
	that	397.98977769995224
	you	396.8127353575812
	in	375.5684293240124
	s	269.52339691819424
	for	244.44811593960281
	n't	225.5888377906221
	on	224.9348681186089
	was	193.5342113278355
	do	188.7357942910599
	as	187.92610633437852
	they	186.32743710627028
